time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-30T18:39:22.252Z,59.9703,-153.3706,140.27,3.4,ml,45,37,0.115,0.33,us,us7000hdmz,2022-08-06T22:13:07.040Z,"45 km ENE of Pedro Bay, Alaska",earthquake,3.4,4.4,0.033,118,reviewed,us,us
2022-05-30T18:32:21.380Z,17.4096666666667,-67.7366666666667,30.69,2.98,md,12,253,,0.19,pr,pr71351523,2022-05-30T19:04:12.120Z,"85 km SW of Pole Ojea, Puerto Rico",earthquake,1.11,9.67,0.0761327771862779,8,reviewed,pr,pr
2022-05-30T17:57:41.614Z,-25.3481,-175.187,10,4.7,mb,28,116,4.594,1.05,us,us7000hemk,2022-08-06T22:13:23.040Z,"south of Tonga",earthquake,8,1.9,0.094,34,reviewed,us,us
2022-05-30T17:21:18.140Z,19.0605,-67.9521666666667,4.28,3.33,md,14,191,,0.28,pr,pr71351528,2022-08-06T22:13:07.040Z,"71 km NE of Punta Cana, Dominican Republic",earthquake,1.33,1.06,0.119883417236707,10,reviewed,pr,pr
2022-05-30T16:22:54.645Z,12.3337,141.2698,10,4.4,mb,28,91,3.723,0.46,us,us7000hemj,2022-08-06T22:13:23.040Z,"295 km NNE of Fais, Micronesia",earthquake,12.4,1.9,0.138,15,reviewed,us,us
2022-05-30T16:14:14.941Z,-22.0925,-177.6558,352.81,4.1,mb,32,90,5.916,0.61,us,us7000hemi,2022-08-06T22:13:23.040Z,"273 km WSW of Haveluloto, Tonga",earthquake,13.5,6.9,0.127,19,reviewed,us,us
2022-05-30T16:05:53.521Z,-18.5671,-178.5107,584.93,4.2,mb,18,130,3.368,0.42,us,us7000hemh,2022-08-06T22:13:23.040Z,"236 km ESE of Levuka, Fiji",earthquake,10.7,9.9,0.159,12,reviewed,us,us
2022-05-30T15:57:37.354Z,-22.6508,179.3421,627.26,4.4,mb,35,59,5.028,0.42,us,us7000hemg,2022-08-06T22:13:23.040Z,"south of the Fiji Islands",earthquake,13.8,10.6,0.105,28,reviewed,us,us
2022-05-30T14:46:51.370Z,54.3526,-159.1449,19.7,2.6,ml,21,256,0.544,0.49,us,us6000i5qm,2022-08-06T22:12:57.040Z,"139 km SE of Sand Point, Alaska",earthquake,7.6,14.8,0.097,14,reviewed,us,us
2022-05-30T14:38:18.434Z,31.61536623,-104.0011075,7.391259766,2.7,ml,15,77,0.1460011179,0.3,tx,tx2022kniv,2022-08-06T22:13:06.040Z,"38 km NNW of Toyah, Texas",earthquake,1.447151705,4.305561726,0.2,12,reviewed,tx,tx
2022-05-30T14:36:56.042Z,52.8824,-2.6269,10,3.6,ml,12,119,2.291,0.78,us,us7000hdns,2022-08-06T22:13:07.040Z,"2 km ESE of Prees, United Kingdom",earthquake,5.7,2,0.148,6,reviewed,us,us
