latitude,longitude,depth,magnitude,distance,gravity,force
37.623,142.155,50.7,6.3,396456,9.8,2.080410404737338e-15
37.054,141.763,8.4,5.9,396452,9.8,2.080452385524921e-15
38.095,142.492,40.6,6.2,396448,9.8,2.0804943675832185e-15
36.469,141.84,22.6,5.9,396438,9.8,2.080599328288672e-15
36.375,141.777,34.2,5.8,396435,9.8,2.080630818049173e-15
39.003,142.29,42.7,6.3,396432,9.8,2.080662308524573e-15
36.419,141.876,32.3,6.4,396428,9.8,2.0807042969372094e-15
38.969,143.37,2.8,6.7,396425,9.8,2.080735789080792e-15
36.109,141.696,26.6,5.9,396416,9.8,2.080830269801454e-15
37.788,144.233,25.4,6.2,396412,9.8,2.0808722632984844e-15
37.211,141.601,40.1,6.2,396411,9.8,2.0808827618713697e-15
37.93,143.802,35.0,6.3,396404,9.8,2.0809562541062783e-15
36.281,141.111,42.6,7.9,396403,9.8,2.0809667533148055e-15
36.023,142.269,16.0,6.6,396394,9.8,2.0810612497672968e-15
36.004,142.067,49.3,6.5,396390,9.8,2.0811032502567104e-15
38.29,142.813,51.7,6.2,396385,9.8,2.081155752656543e-15
39.03,142.284,56.3,6.2,396380,9.8,2.0812082570432094e-15
38.058,144.59,18.6,7.7,396372,9.8,2.0812922681947387e-15
37.812,144.233,40.6,6.1,396362,9.8,2.0813972892877363e-15
36.625,141.867,39.1,5.9,396350,9.8,2.0815233250923186e-15
35.806,141.1,10.3,5.8,396344,9.8,2.0815863472875994e-15
37.465,142.404,52.4,5.6,396338,9.8,2.0816493723451035e-15
36.094,141.665,47.2,5.8,396335,9.8,2.0816808859472442e-15
37.04,142.463,40.1,5.5,396331,9.8,2.0817229051966233e-15
39.599,141.576,35.0,5.8,396326,9.8,2.0817754310474776e-15
34.88,141.916,36.3,5.2,396323,9.8,2.081806947512232e-15
38.066,144.627,25.9,5.4,396320,9.8,2.081838464692694e-15
36.588,141.1,22.7,5.3,396315,9.8,2.0818909949173173e-15
37.956,143.248,30.6,5.9,396310,9.8,2.0819435271301783e-15
38.807,141.946,47.1,5.3,396304,9.8,2.0820065684102255e-15
37.961,142.724,11.7,6.2,396303,9.8,2.082017075568613e-15
37.337,144.237,47.3,6.1,396301,9.8,2.082038090124006e-15
40.668,141.605,44.9,5.8,396299,9.8,2.082059104997562e-15
38.061,143.016,33.6,5.5,396292,9.8,2.0821326595606334e-15
36.974,141.493,9.5,5.4,396287,9.8,2.082185200920678e-15
37.562,142.855,39.8,5.9,396282,9.8,2.0822377442695228e-15
35.712,140.875,47.5,6.0,396277,9.8,2.082290289607267e-15
37.357,144.725,35.9,6.3,396272,9.8,2.082342836934011e-15
36.628,143.755,36.1,5.7,396265,9.8,2.082416406533164e-15
39.693,142.529,41.6,5.8,396260,9.8,2.082468958633918e-15
37.924,142.802,19.1,5.6,396260,9.8,2.082468958633918e-15
38.964,142.398,23.7,5.8,396256,9.8,2.082511001746842e-15
38.442,143.6,15.4,5.7,396253,9.8,2.0825425349170896e-15
37.778,142.98,21.5,5.6,396248,9.8,2.0825950917924317e-15
36.714,141.874,28.2,5.7,396241,9.8,2.0826686747604314e-15
36.718,141.856,35.0,5.6,396239,9.8,2.0826896991818625e-15
37.879,142.681,33.7,5.8,396236,9.8,2.08272123641094e-15
36.103,142.358,35.0,5.9,396227,9.8,2.082815852396278e-15
36.586,141.823,24.7,6.3,396223,9.8,2.0828579060148866e-15
37.006,142.406,6.3,5.8,396215,9.8,2.0829420170731177e-15
37.454,142.097,19.6,5.9,396198,9.8,2.0831207699894566e-15
37.934,144.529,39.5,6.1,396191,9.8,2.0831943808196255e-15
36.823,141.824,28.4,6.1,396183,9.8,2.0832785122604384e-15
